GENESIS-Tabelle: 81000-0002
National accounts - Gross value added, gross domestic;;;;;;;;;;;
product (nominal/price-adjusted): Germany, quarters,;;;;;;;;;;;
original and adjusted data;;;;;;;;;;;
National accounts of the Federation;;;;;;;;;;;
Germany;;;;;;;;;;;
;;;;2021;2021;2021;2021;2022;2022;2022;2022
;;;;Quarter 1;Quarter 2;Quarter 3;Quarter 4;Quarter 1;Quarter 2;Quarter 3;Quarter 4
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Gross domestic product;unit app.;103.700;105.700;106.530;106.500;107.350;107.500;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Mem. item: Gross domestic product (change in %);percent;-1.5;1.9;0.8;0.0;0.8;0.1;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain index (2015=100);Mem. item: Gross domestic product per inhabitant;unit app.;101.870;103.820;104.580;104.500;105.250;104.750;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Gross value added;unit app.;706.585;714.547;725.980;718.766;730.335;728.362;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Taxes on products less subsidies;unit app.;77.598;85.433;79.581;87.417;81.641;85.023;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Gross domestic product;unit app.;784.519;799.649;805.928;805.701;812.132;813.267;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Mem. item: Gross domestic product (change in %);percent;-1.5;1.9;0.8;0.0;0.8;0.1;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, chain-linked volume data (bn EUR);Mem. item: Gross domestic product per inhabitant;unit app.;-;-;-;-;-;-;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Gross value added;unit app.;-;-;-;-;-;-;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Taxes on products less subsidies;unit app.;-;-;-;-;-;-;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);     Taxes on products;unit app.;-;-;-;-;-;-;-;-
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);     Subsidies on products;unit app.;-;-;-;-;-;-;-;-
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Gross domestic product;unit app.;-;-;-;-;-;-;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Mem. item: Gross domestic product (change in %);percent;-;-;-;-;-;-;...;...
X13 JDemetra+  calendar and seasonally adjusted;Price-adjusted, unlinked volume data (bn EUR);Mem. item: Gross domestic product per inhabitant;unit app.;-;-;-;-;-;-;...;...
