date,GDP(Quarterly)
20.09.17,823940
21.09.17,823940
22.09.17,823940
23.09.17,823940
24.09.17,823940
25.09.17,823940
26.09.17,823940
27.09.17,823940
28.09.17,823940
29.09.17,823940
30.09.17,823940
01.10.17,843190
02.10.17,843190
03.10.17,843190
04.10.17,843190
05.10.17,843190
06.10.17,843190
07.10.17,843190
08.10.17,843190
09.10.17,843190
10.10.17,843190
11.10.17,843190
12.10.17,843190
13.10.17,843190
14.10.17,843190
15.10.17,843190
16.10.17,843190
17.10.17,843190
18.10.17,843190
19.10.17,843190
20.10.17,843190
21.10.17,843190
22.10.17,843190
23.10.17,843190
24.10.17,843190
25.10.17,843190
26.10.17,843190
27.10.17,843190
28.10.17,843190
29.10.17,843190
30.10.17,843190
31.10.17,843190
01.11.17,843190
02.11.17,843190
03.11.17,843190
04.11.17,843190
05.11.17,843190
06.11.17,843190
07.11.17,843190
08.11.17,843190
09.11.17,843190
10.11.17,843190
11.11.17,843190
12.11.17,843190
13.11.17,843190
14.11.17,843190
15.11.17,843190
16.11.17,843190
17.11.17,843190
18.11.17,843190
19.11.17,843190
20.11.17,843190
21.11.17,843190
22.11.17,843190
23.11.17,843190
24.11.17,843190
25.11.17,843190
26.11.17,843190
27.11.17,843190
28.11.17,843190
29.11.17,843190
30.11.17,843190
01.12.17,843190
02.12.17,843190
03.12.17,843190
04.12.17,843190
05.12.17,843190
06.12.17,843190
07.12.17,843190
08.12.17,843190
09.12.17,843190
10.12.17,843190
11.12.17,843190
12.12.17,843190
13.12.17,843190
14.12.17,843190
15.12.17,843190
16.12.17,843190
17.12.17,843190
18.12.17,843190
19.12.17,843190
20.12.17,843190
21.12.17,843190
22.12.17,843190
23.12.17,843190
24.12.17,843190
25.12.17,843190
26.12.17,843190
27.12.17,843190
28.12.17,843190
29.12.17,843190
30.12.17,843190
31.12.17,843190
01.01.18,823520
02.01.18,823520
03.01.18,823520
04.01.18,823520
05.01.18,823520
06.01.18,823520
07.01.18,823520
08.01.18,823520
09.01.18,823520
10.01.18,823520
11.01.18,823520
12.01.18,823520
13.01.18,823520
14.01.18,823520
15.01.18,823520
16.01.18,823520
17.01.18,823520
18.01.18,823520
19.01.18,823520
20.01.18,823520
21.01.18,823520
22.01.18,823520
23.01.18,823520
24.01.18,823520
25.01.18,823520
26.01.18,823520
27.01.18,823520
28.01.18,823520
29.01.18,823520
30.01.18,823520
31.01.18,823520
01.02.18,823520
02.02.18,823520
03.02.18,823520
04.02.18,823520
05.02.18,823520
06.02.18,823520
07.02.18,823520
08.02.18,823520
09.02.18,823520
10.02.18,823520
11.02.18,823520
12.02.18,823520
13.02.18,823520
14.02.18,823520
15.02.18,823520
16.02.18,823520
17.02.18,823520
18.02.18,823520
19.02.18,823520
20.02.18,823520
21.02.18,823520
22.02.18,823520
23.02.18,823520
24.02.18,823520
25.02.18,823520
26.02.18,823520
27.02.18,823520
28.02.18,823520
01.03.18,823520
02.03.18,823520
03.03.18,823520
04.03.18,823520
05.03.18,823520
06.03.18,823520
07.03.18,823520
08.03.18,823520
09.03.18,823520
10.03.18,823520
11.03.18,823520
12.03.18,823520
13.03.18,823520
14.03.18,823520
15.03.18,823520
