y,date
1595806680,2017-11-01
1636688137,2017-11-02
1659460906,2017-11-03
1372713121,2017-11-04
1571127834,2017-11-05
2039388861,2017-11-06
2128192916,2017-11-07
2166071911,2017-11-08
2083935519,2017-11-09
1938059237,2017-11-10
1797963079,2017-11-11
1951951825,2017-11-12
2295636946,2017-11-13
2325206888,2017-11-14
2343258332,2017-11-15
2303125751,2017-11-16
2206736636,2017-11-17
1984258473,2017-11-18
1992787657,2017-11-19
2256284384,2017-11-20
2041067005,2017-11-21
1849021164,2017-11-22
1685070692,2017-11-23
1704276953,2017-11-24
1766782351,2017-11-25
1971358275,2017-11-26
2253200940,2017-11-27
2335515028,2017-11-28
2579243562,2017-11-29
2685944369,2017-11-30
2747156485,2017-12-01
2614113632,2017-12-02
2546597396,2017-12-03
2583927571,2017-12-04
2468685960,2017-12-05
2392364672,2017-12-06
2321115353,2017-12-07
2407185095,2017-12-08
2424470569,2017-12-09
2428031974,2017-12-10
2563151465,2017-12-11
2603509426,2017-12-12
2508538808,2017-12-13
2456983699,2017-12-14
2512184126,2017-12-15
2366519976,2017-12-16
2410108380,2017-12-17
2714650965,2017-12-18
2674548540,2017-12-19
2533969248,2017-12-20
2240775672,2017-12-21
1968578452,2017-12-22
1690424533,2017-12-23
1579734838,2017-12-24
1708278464,2017-12-25
1797146897,2017-12-26
2055329433,2017-12-27
2241772896,2017-12-28
2289597279,2017-12-29
1895787612,2017-12-30
1517954358,2017-12-31
1607537924,2018-01-01
1900368173,2018-01-02
1883256509,2018-01-03
1881429284,2018-01-04
1835492971,2018-01-05
1806485092,2018-01-06
1989643775,2018-01-07
2294828574,2018-01-08
2259859781,2018-01-09
2196786681,2018-01-10
2315794744,2018-01-11
2300496019,2018-01-12
2141220238,2018-01-13
2305287021,2018-01-14
2418925471,2018-01-15
2325245231,2018-01-16
2461334733,2018-01-17
2315833428,2018-01-18
2439298260,2018-01-19
2324049693,2018-01-20
2364095335,2018-01-21
2436375554,2018-01-22
2202293462,2018-01-23
1857344333,2018-01-24
1875444209,2018-01-25
1962075773,2018-01-26
1841630717,2018-01-27
1732807663,2018-01-28
1847742492,2018-01-29
2091003962,2018-01-30
1991419189,2018-01-31
2238841800,2018-02-01
2369227217,2018-02-02
2348156898,2018-02-03
2534639584,2018-02-04
2907735008,2018-02-05
3007385094,2018-02-06
3025763115,2018-02-07
3047075722,2018-02-08
2876363137,2018-02-09
2548585065,2018-02-10
2429255936,2018-02-11
2673839419,2018-02-12
2789346099,2018-02-13
2805685418,2018-02-14
2685059002,2018-02-15
2544634859,2018-02-16
2446978790,2018-02-17
2493630846,2018-02-18
2832991185,2018-02-19
2857024500,2018-02-20
2862067599,2018-02-21
2904174029,2018-02-22
2902993284,2018-02-23
2731335132,2018-02-24
2928237876,2018-02-25
3307259174,2018-02-26
3415129333,2018-02-27
