y____lag7,y____lag6,y____lag5,y____lag4,y____lag3,y____lag2,y____lag1,y,date
2241772896,2241772896,2241772896,2241772896,2241772896,2241772896,2241772896,2289597279,2017-12-29
2289597279,2289597279,2289597279,2289597279,2289597279,2289597279,2289597279,1895787612,2017-12-30
1895787612,1895787612,1895787612,1895787612,1895787612,1895787612,1895787612,1517954358,2017-12-31
1517954358,1517954358,1517954358,1517954358,1517954358,1517954358,1517954358,1607537924,2018-01-01
1607537924,1607537924,1607537924,1607537924,1607537924,1607537924,1607537924,1900368173,2018-01-02
1900368173,1900368173,1900368173,1900368173,1900368173,1900368173,1900368173,1883256509,2018-01-03
1883256509,1883256509,1883256509,1883256509,1883256509,1883256509,1883256509,1881429284,2018-01-04
1881429284,1881429284,1881429284,1881429284,1881429284,1881429284,1881429284,1835492971,2018-01-05
1835492971,1835492971,1835492971,1835492971,1835492971,1835492971,1835492971,1806485092,2018-01-06
1806485092,1806485092,1806485092,1806485092,1806485092,1806485092,1806485092,1989643775,2018-01-07
1989643775,1989643775,1989643775,1989643775,1989643775,1989643775,1989643775,2294828574,2018-01-08
2294828574,2294828574,2294828574,2294828574,2294828574,2294828574,2294828574,2259859781,2018-01-09
2259859781,2259859781,2259859781,2259859781,2259859781,2259859781,2259859781,2196786681,2018-01-10
2196786681,2196786681,2196786681,2196786681,2196786681,2196786681,2196786681,2315794744,2018-01-11
2315794744,2315794744,2315794744,2315794744,2315794744,2315794744,2315794744,2300496019,2018-01-12
2300496019,2300496019,2300496019,2300496019,2300496019,2300496019,2300496019,2141220238,2018-01-13
2141220238,2141220238,2141220238,2141220238,2141220238,2141220238,2141220238,2305287021,2018-01-14
2305287021,2305287021,2305287021,2305287021,2305287021,2305287021,2305287021,2418925471,2018-01-15
2418925471,2418925471,2418925471,2418925471,2418925471,2418925471,2418925471,2325245231,2018-01-16
2325245231,2325245231,2325245231,2325245231,2325245231,2325245231,2325245231,2461334733,2018-01-17
2461334733,2461334733,2461334733,2461334733,2461334733,2461334733,2461334733,2315833428,2018-01-18
2315833428,2315833428,2315833428,2315833428,2315833428,2315833428,2315833428,2439298260,2018-01-19
2439298260,2439298260,2439298260,2439298260,2439298260,2439298260,2439298260,2324049693,2018-01-20
2324049693,2324049693,2324049693,2324049693,2324049693,2324049693,2324049693,2364095335,2018-01-21
2364095335,2364095335,2364095335,2364095335,2364095335,2364095335,2364095335,2436375554,2018-01-22
2436375554,2436375554,2436375554,2436375554,2436375554,2436375554,2436375554,2202293462,2018-01-23
2202293462,2202293462,2202293462,2202293462,2202293462,2202293462,2202293462,1857344333,2018-01-24
1857344333,1857344333,1857344333,1857344333,1857344333,1857344333,1857344333,1875444209,2018-01-25
1875444209,1875444209,1875444209,1875444209,1875444209,1875444209,1875444209,1962075773,2018-01-26
1962075773,1962075773,1962075773,1962075773,1962075773,1962075773,1962075773,1841630717,2018-01-27
1841630717,1841630717,1841630717,1841630717,1841630717,1841630717,1841630717,1732807663,2018-01-28
1732807663,1732807663,1732807663,1732807663,1732807663,1732807663,1732807663,1847742492,2018-01-29
1847742492,1847742492,1847742492,1847742492,1847742492,1847742492,1847742492,2091003962,2018-01-30
2091003962,2091003962,2091003962,2091003962,2091003962,2091003962,2091003962,1991419189,2018-01-31
1991419189,1991419189,1991419189,1991419189,1991419189,1991419189,1991419189,2238841800,2018-02-01
2238841800,2238841800,2238841800,2238841800,2238841800,2238841800,2238841800,2369227217,2018-02-02
2369227217,2369227217,2369227217,2369227217,2369227217,2369227217,2369227217,2348156898,2018-02-03
2348156898,2348156898,2348156898,2348156898,2348156898,2348156898,2348156898,2534639584,2018-02-04
2534639584,2534639584,2534639584,2534639584,2534639584,2534639584,2534639584,2907735008,2018-02-05
2907735008,2907735008,2907735008,2907735008,2907735008,2907735008,2907735008,3007385094,2018-02-06
